#{"t_start": 1519520023.2295725, "env_id": "KangarooNoFrameskip-v0"}
r,l,t
0.0,367,743.659938
0.0,482,745.707238
0.0,355,747.065064
200.0,400,748.653432
0.0,280,749.930412
0.0,279,751.036288
0.0,288,752.181442
0.0,475,754.244087
0.0,285,755.400321
0.0,285,756.541813
0.0,468,758.31582
0.0,395,759.899477
0.0,402,761.724284
0.0,663,764.449676
0.0,355,765.755806
0.0,436,767.63502
0.0,292,768.839411
200.0,409,770.582133
0.0,281,771.714474
0.0,401,773.31717
0.0,360,774.830521
0.0,364,776.366499
0.0,277,777.482747
0.0,407,779.10192
0.0,273,780.18997
0.0,468,782.162866
0.0,535,784.302038
0.0,276,785.377227
200.0,437,787.07556
0.0,596,789.570675
200.0,363,791.071716
0.0,577,793.3967
0.0,625,796.122411
0.0,486,798.122894
0.0,491,800.050506
0.0,292,801.381525
200.0,340,802.627281
200.0,396,804.275344
0.0,279,805.367942
200.0,470,807.334274
0.0,440,809.068583
0.0,538,811.218011
200.0,555,813.619415
0.0,467,815.393132
0.0,535,817.607828
0.0,551,820.024974
0.0,618,822.369865
0.0,648,825.029706
0.0,462,827.01906
0.0,397,828.717784
0.0,542,830.906783
0.0,615,833.446152
0.0,528,835.575244
0.0,463,837.522229
200.0,406,839.164306
400.0,549,841.332205
0.0,286,842.463737
0.0,491,844.5078
0.0,280,845.60464
0.0,405,847.208334
0.0,404,848.824244
0.0,469,850.77738
200.0,543,852.966681
0.0,362,854.450068
200.0,416,856.076444
200.0,344,857.521114
0.0,283,858.651987
0.0,526,860.852264
0.0,413,862.475077
0.0,412,864.115859
0.0,478,866.174193
0.0,278,867.248401
0.0,284,868.353079
0.0,347,869.805262
0.0,275,870.906055
0.0,467,872.802771
0.0,275,873.896828
200.0,343,875.351882
200.0,523,877.465692
0.0,284,878.596959
0.0,343,880.049675
0.0,279,881.169551
0.0,405,882.787254
0.0,470,884.765008
200.0,668,887.546076
0.0,471,889.467212
0.0,346,890.918539
200.0,404,892.514229
0.0,602,895.013409
0.0,529,897.151449
0.0,408,898.77259
200.0,528,900.885458
0.0,345,902.335714
0.0,346,903.622703
0.0,339,905.076482
0.0,468,907.059677
0.0,284,908.174897
0.0,406,909.824762
0.0,406,911.438949
200.0,347,912.9353
0.0,411,914.595533
0.0,285,915.69858
0.0,528,917.815415
0.0,343,919.360438
200.0,479,921.178344
0.0,349,922.64577
0.0,285,923.810745
0.0,346,925.285486
0.0,286,926.399444
0.0,291,927.510248
0.0,410,929.13712
200.0,530,931.264343
200.0,406,932.868014
0.0,288,934.180181
0.0,408,935.788252
0.0,399,937.372964
0.0,277,938.455952
0.0,400,940.039342
0.0,434,941.718414
0.0,362,943.22453
0.0,357,944.707503
0.0,282,945.844749
0.0,536,948.069114
0.0,278,949.296729
0.0,515,951.440021
0.0,657,954.103533
0.0,275,955.185333
0.0,656,957.862993
0.0,407,959.47326
0.0,524,961.574431
0.0,412,963.396347
0.0,297,964.564337
0.0,401,966.260127
200.0,347,967.757853
0.0,284,968.893188
0.0,530,971.018393
0.0,282,972.139105
200.0,656,974.836839
0.0,279,975.922601
0.0,409,977.607494
400.0,471,979.706672
200.0,475,981.748813
0.0,390,983.337404
200.0,526,985.561991
200.0,339,986.813344
0.0,345,988.258397
0.0,408,989.897679
0.0,594,992.170335
0.0,476,994.213206
0.0,342,995.739156
0.0,463,997.493428
0.0,346,998.933711
0.0,344,1000.374348
0.0,588,1002.656408
0.0,415,1004.324012
0.0,406,1005.925405
0.0,278,1007.198805
0.0,341,1008.474057
0.0,532,1010.743048
0.0,341,1012.184331
0.0,337,1013.423945
200.0,336,1014.843833
200.0,561,1017.097517
0.0,401,1018.6991
0.0,343,1020.186557
0.0,342,1021.658365
0.0,346,1022.922145
0.0,297,1024.067595
0.0,298,1025.385203
0.0,475,1027.220533
0.0,407,1028.828472
200.0,531,1031.162586
0.0,339,1032.455028
0.0,285,1033.559163
0.0,470,1035.530298
0.0,410,1037.234046
0.0,277,1038.353075
0.0,474,1040.543939
0.0,398,1042.145077
200.0,466,1043.910824
0.0,402,1045.815655
0.0,466,1047.634172
0.0,400,1049.322237
0.0,339,1050.764851
200.0,340,1052.058077
400.0,462,1054.099712
0.0,543,1056.29382
0.0,337,1057.75541
0.0,342,1059.043105
200.0,470,1061.046602
200.0,400,1062.693945
200.0,495,1064.753373
0.0,400,1066.362296
0.0,408,1068.046173
0.0,281,1069.251438
0.0,402,1070.888226
0.0,462,1072.895775
0.0,279,1073.995804
0.0,472,1075.781501
200.0,652,1078.468363
0.0,375,1080.009274
200.0,401,1081.63728
0.0,345,1083.111294
200.0,469,1085.077138
0.0,338,1086.324898
200.0,341,1087.753838
0.0,395,1089.346681
0.0,400,1091.014762
0.0,338,1092.260155
200.0,461,1094.213635
0.0,463,1096.149407
200.0,341,1097.399157
0.0,281,1098.503948
0.0,403,1100.179678
0.0,479,1102.174146
0.0,344,1103.632979
0.0,402,1105.279594
0.0,348,1106.573158
0.0,278,1107.846251
0.0,334,1109.102401
0.0,337,1110.539016
0.0,278,1111.623602
0.0,343,1112.897391
200.0,402,1114.49386
0.0,406,1116.294572
0.0,572,1118.530827
0.0,338,1119.972665
0.0,477,1121.85798
0.0,339,1123.31028
0.0,403,1124.91952
200.0,397,1126.538387
0.0,541,1128.754343
200.0,409,1130.475615
0.0,413,1132.098603
0.0,544,1134.450179
0.0,502,1136.341074
0.0,417,1138.17338
0.0,342,1139.485166
0.0,420,1141.145409
0.0,535,1143.501712
0.0,348,1144.82868
0.0,400,1146.427039
0.0,469,1148.410325
200.0,547,1150.589343
0.0,608,1153.121393
200.0,606,1155.42992
0.0,274,1156.69192
0.0,289,1157.822619
0.0,342,1159.184739
0.0,536,1161.342936
0.0,399,1163.117468
0.0,478,1164.951616
0.0,409,1166.559829
0.0,468,1168.536803
0.0,288,1169.643918
0.0,412,1171.261185
0.0,338,1172.689255
0.0,472,1174.468188
0.0,345,1175.911091
0.0,410,1177.570291
200.0,348,1179.055616
200.0,337,1180.298346
0.0,405,1182.114232
200.0,527,1184.239619
0.0,470,1186.007087
0.0,342,1187.442527
0.0,464,1189.37847
200.0,723,1192.414509
0.0,465,1194.347558
0.0,346,1195.608094
0.0,467,1197.620855
0.0,401,1199.246184
0.0,415,1200.914016
200.0,402,1202.546424
0.0,348,1204.007122
0.0,279,1205.122546
0.0,402,1206.736158
200.0,537,1208.872998
200.0,463,1210.852826
0.0,345,1212.147878
0.0,339,1213.637232
200.0,465,1215.400331
0.0,334,1216.836196
400.0,462,1218.900358
0.0,341,1220.169904
0.0,279,1221.269181
200.0,466,1223.281415
200.0,400,1224.884229
0.0,396,1226.488888
200.0,336,1227.72196
0.0,401,1229.555858
200.0,400,1231.166074
200.0,341,1232.497773
0.0,280,1233.586655
200.0,467,1235.620187
0.0,398,1237.201823
0.0,340,1238.637135
0.0,404,1240.271023
0.0,524,1242.40613
0.0,398,1243.997004
200.0,339,1245.257836
200.0,341,1246.697641
0.0,343,1248.13363
200.0,342,1249.539317
200.0,399,1251.175261
200.0,335,1252.669361
400.0,467,1254.430281
0.0,402,1256.047157
0.0,402,1257.644
0.0,404,1259.419335
0.0,403,1261.016449
0.0,403,1262.631602
0.0,403,1264.229983
200.0,399,1265.828908
0.0,401,1267.479157
200.0,398,1269.063868
200.0,344,1270.537592
0.0,464,1272.286668
0.0,344,1273.791258
0.0,461,1275.559004
0.0,394,1277.133592
0.0,402,1278.877047
0.0,339,1280.329701
0.0,337,1281.831442
0.0,336,1283.096428
200.0,395,1284.685072
0.0,407,1286.289928
0.0,397,1287.871305
0.0,396,1289.444288
0.0,345,1290.884574
200.0,394,1292.493965
200.0,391,1294.065397
0.0,345,1295.547848
200.0,400,1297.183094
400.0,396,1298.780402
0.0,395,1300.437166
0.0,347,1301.765656
0.0,335,1303.194432
0.0,340,1304.67523
200.0,401,1306.261748
0.0,403,1307.864036
0.0,394,1309.570185
0.0,403,1311.209728
0.0,397,1312.836974
0.0,463,1314.638844
200.0,404,1316.424849
0.0,343,1317.674636
0.0,406,1319.309465
200.0,465,1321.280407
0.0,399,1322.894684
0.0,399,1324.485576
200.0,465,1326.42939
0.0,464,1328.189596
0.0,338,1329.619443
0.0,276,1330.735644
200.0,460,1332.481846
0.0,342,1334.024129
0.0,283,1335.148857
0.0,343,1336.589968
0.0,283,1337.685333
0.0,463,1339.579054
200.0,470,1341.560748
0.0,343,1343.011781
0.0,345,1344.272802
0.0,407,1345.92979
0.0,341,1347.372118
200.0,463,1349.142195
0.0,335,1350.608068
0.0,465,1352.608209
200.0,340,1353.913277
0.0,402,1355.520036
200.0,337,1356.991177
0.0,289,1358.098761
0.0,340,1359.521234
0.0,341,1360.785539
0.0,403,1362.404045
0.0,342,1363.830327
200.0,338,1365.252369
0.0,339,1366.522635
0.0,396,1368.099187
0.0,399,1369.790422
200.0,340,1371.292534
200.0,524,1373.389978
0.0,279,1374.502512
0.0,466,1376.444673
0.0,491,1378.273
0.0,403,1379.86214
0.0,339,1381.338883
0.0,338,1382.877975
0.0,539,1385.077013
0.0,402,1386.657764
0.0,339,1387.925682
0.0,399,1389.531625
400.0,530,1391.658112
0.0,277,1392.926863
0.0,346,1394.235378
200.0,403,1395.887227
0.0,340,1397.436895
0.0,285,1398.617444
0.0,396,1400.290354
200.0,405,1401.925785
0.0,343,1403.366045
0.0,404,1404.99361
0.0,276,1406.068712
0.0,407,1407.678224
0.0,398,1409.277174
200.0,469,1411.42046
0.0,402,1413.071104
0.0,402,1414.65549
0.0,463,1416.414035
0.0,347,1417.860533
0.0,341,1419.295959
200.0,400,1420.894698
0.0,398,1422.48861
0.0,404,1424.081088
0.0,598,1426.621475
200.0,403,1428.242802
200.0,344,1429.655905
200.0,465,1431.704111
200.0,403,1433.326289
0.0,527,1435.43251
200.0,464,1437.358678
0.0,342,1438.618428
0.0,350,1440.135175
200.0,529,1442.245689
0.0,399,1443.834942
200.0,463,1445.601579
0.0,339,1447.036444
0.0,340,1448.464673
0.0,282,1449.560333
200.0,404,1451.164276
0.0,437,1452.92017
0.0,412,1454.544886
400.0,400,1456.132314
200.0,602,1458.744199
0.0,471,1460.748231
200.0,345,1462.001263
0.0,341,1463.47316
200.0,341,1464.979354
0.0,528,1467.091292
0.0,472,1468.86068
200.0,492,1470.873656
0.0,481,1472.876326
400.0,537,1475.011555
0.0,408,1476.613879
0.0,473,1478.592107
200.0,409,1480.279598
0.0,477,1482.118696
0.0,415,1483.937237
0.0,374,1485.292901
0.0,279,1486.613174
0.0,343,1487.858017
200.0,403,1489.561232
0.0,529,1491.776374
0.0,343,1493.290706
0.0,357,1494.827318
0.0,408,1496.452494
200.0,467,1498.275483
200.0,476,1500.308284
0.0,342,1501.759061
0.0,612,1504.096994
0.0,592,1506.580273
200.0,346,1508.063443
200.0,336,1509.345344
0.0,542,1511.478702
0.0,395,1513.069778
0.0,336,1514.49419
0.0,284,1515.602583
0.0,404,1517.311328
0.0,405,1519.015467
0.0,411,1520.63768
0.0,277,1521.924162
0.0,347,1523.190423
0.0,468,1525.162653
0.0,338,1526.404619
0.0,340,1527.833142
0.0,478,1529.820985
200.0,471,1531.618039
0.0,342,1533.130462
0.0,278,1534.237106
